day,time,end_use_type,value
Constant,1900-01-01 00:00:00,Beleuchtung,1
Constant,1900-01-01 00:00:00,IKT,1
Constant,1900-01-01 00:00:00,Klimakälte,1
Constant,1900-01-01 00:00:00,mechanische Antriebe,1
Constant,1900-01-01 00:00:00,Prozesskälte,1
Constant,1900-01-01 00:00:00,Prozesswärme,1
Constant,1900-01-01 00:00:00,Raumwärme,1
Constant,1900-01-01 00:00:00,Warmwasser,1
Constant,1900-01-01 00:15:00,Beleuchtung,1
Constant,1900-01-01 00:15:00,IKT,1
Constant,1900-01-01 00:15:00,Klimakälte,1
Constant,1900-01-01 00:15:00,mechanische Antriebe,1
Constant,1900-01-01 00:15:00,Prozesskälte,1
Constant,1900-01-01 00:15:00,Prozesswärme,1
Constant,1900-01-01 00:15:00,Raumwärme,1
Constant,1900-01-01 00:15:00,Warmwasser,1
Constant,1900-01-01 00:30:00,Beleuchtung,1
Constant,1900-01-01 00:30:00,IKT,1
Constant,1900-01-01 00:30:00,Klimakälte,1
Constant,1900-01-01 00:30:00,mechanische Antriebe,1
Constant,1900-01-01 00:30:00,Prozesskälte,1
Constant,1900-01-01 00:30:00,Prozesswärme,1
Constant,1900-01-01 00:30:00,Raumwärme,1
Constant,1900-01-01 00:30:00,Warmwasser,1
Constant,1900-01-01 00:45:00,Beleuchtung,1
Constant,1900-01-01 00:45:00,IKT,1
Constant,1900-01-01 00:45:00,Klimakälte,1
Constant,1900-01-01 00:45:00,mechanische Antriebe,1
Constant,1900-01-01 00:45:00,Prozesskälte,1
Constant,1900-01-01 00:45:00,Prozesswärme,1
Constant,1900-01-01 00:45:00,Raumwärme,1
Constant,1900-01-01 00:45:00,Warmwasser,1
Constant,1900-01-01 01:00:00,Beleuchtung,1
Constant,1900-01-01 01:00:00,IKT,1
Constant,1900-01-01 01:00:00,Klimakälte,1
Constant,1900-01-01 01:00:00,mechanische Antriebe,1
Constant,1900-01-01 01:00:00,Prozesskälte,1
Constant,1900-01-01 01:00:00,Prozesswärme,1
Constant,1900-01-01 01:00:00,Raumwärme,1
Constant,1900-01-01 01:00:00,Warmwasser,1
Constant,1900-01-01 01:15:00,Beleuchtung,1
Constant,1900-01-01 01:15:00,IKT,1
Constant,1900-01-01 01:15:00,Klimakälte,1
Constant,1900-01-01 01:15:00,mechanische Antriebe,1
Constant,1900-01-01 01:15:00,Prozesskälte,1
Constant,1900-01-01 01:15:00,Prozesswärme,1
Constant,1900-01-01 01:15:00,Raumwärme,1
Constant,1900-01-01 01:15:00,Warmwasser,1
Constant,1900-01-01 01:30:00,Beleuchtung,1
Constant,1900-01-01 01:30:00,IKT,1
Constant,1900-01-01 01:30:00,Klimakälte,1
Constant,1900-01-01 01:30:00,mechanische Antriebe,1
Constant,1900-01-01 01:30:00,Prozesskälte,1
Constant,1900-01-01 01:30:00,Prozesswärme,1
Constant,1900-01-01 01:30:00,Raumwärme,1
Constant,1900-01-01 01:30:00,Warmwasser,1
Constant,1900-01-01 01:45:00,Beleuchtung,1
Constant,1900-01-01 01:45:00,IKT,1
Constant,1900-01-01 01:45:00,Klimakälte,1
Constant,1900-01-01 01:45:00,mechanische Antriebe,1
Constant,1900-01-01 01:45:00,Prozesskälte,1
Constant,1900-01-01 01:45:00,Prozesswärme,1
Constant,1900-01-01 01:45:00,Raumwärme,1
Constant,1900-01-01 01:45:00,Warmwasser,1
Constant,1900-01-01 02:00:00,Beleuchtung,1
Constant,1900-01-01 02:00:00,IKT,1
Constant,1900-01-01 02:00:00,Klimakälte,1
Constant,1900-01-01 02:00:00,mechanische Antriebe,1
Constant,1900-01-01 02:00:00,Prozesskälte,1
Constant,1900-01-01 02:00:00,Prozesswärme,1
Constant,1900-01-01 02:00:00,Raumwärme,1
Constant,1900-01-01 02:00:00,Warmwasser,1
Constant,1900-01-01 02:15:00,Beleuchtung,1
Constant,1900-01-01 02:15:00,IKT,1
Constant,1900-01-01 02:15:00,Klimakälte,1
Constant,1900-01-01 02:15:00,mechanische Antriebe,1
Constant,1900-01-01 02:15:00,Prozesskälte,1
Constant,1900-01-01 02:15:00,Prozesswärme,1
Constant,1900-01-01 02:15:00,Raumwärme,1
Constant,1900-01-01 02:15:00,Warmwasser,1
Constant,1900-01-01 02:30:00,Beleuchtung,1
Constant,1900-01-01 02:30:00,IKT,1
Constant,1900-01-01 02:30:00,Klimakälte,1
Constant,1900-01-01 02:30:00,mechanische Antriebe,1
Constant,1900-01-01 02:30:00,Prozesskälte,1
Constant,1900-01-01 02:30:00,Prozesswärme,1
Constant,1900-01-01 02:30:00,Raumwärme,1
Constant,1900-01-01 02:30:00,Warmwasser,1
Constant,1900-01-01 02:45:00,Beleuchtung,1
Constant,1900-01-01 02:45:00,IKT,1
Constant,1900-01-01 02:45:00,Klimakälte,1
Constant,1900-01-01 02:45:00,mechanische Antriebe,1
Constant,1900-01-01 02:45:00,Prozesskälte,1
Constant,1900-01-01 02:45:00,Prozesswärme,1
Constant,1900-01-01 02:45:00,Raumwärme,1
Constant,1900-01-01 02:45:00,Warmwasser,1
Constant,1900-01-01 03:00:00,Beleuchtung,1
Constant,1900-01-01 03:00:00,IKT,1
Constant,1900-01-01 03:00:00,Klimakälte,1
Constant,1900-01-01 03:00:00,mechanische Antriebe,1
Constant,1900-01-01 03:00:00,Prozesskälte,1
Constant,1900-01-01 03:00:00,Prozesswärme,1
Constant,1900-01-01 03:00:00,Raumwärme,1
Constant,1900-01-01 03:00:00,Warmwasser,1
Constant,1900-01-01 03:15:00,Beleuchtung,1
Constant,1900-01-01 03:15:00,IKT,1
Constant,1900-01-01 03:15:00,Klimakälte,1
Constant,1900-01-01 03:15:00,mechanische Antriebe,1
Constant,1900-01-01 03:15:00,Prozesskälte,1
Constant,1900-01-01 03:15:00,Prozesswärme,1
Constant,1900-01-01 03:15:00,Raumwärme,1
Constant,1900-01-01 03:15:00,Warmwasser,1
Constant,1900-01-01 03:30:00,Beleuchtung,1
Constant,1900-01-01 03:30:00,IKT,1
Constant,1900-01-01 03:30:00,Klimakälte,1
Constant,1900-01-01 03:30:00,mechanische Antriebe,1
Constant,1900-01-01 03:30:00,Prozesskälte,1
Constant,1900-01-01 03:30:00,Prozesswärme,1
Constant,1900-01-01 03:30:00,Raumwärme,1
Constant,1900-01-01 03:30:00,Warmwasser,1
Constant,1900-01-01 03:45:00,Beleuchtung,1
Constant,1900-01-01 03:45:00,IKT,1
Constant,1900-01-01 03:45:00,Klimakälte,1
Constant,1900-01-01 03:45:00,mechanische Antriebe,1
Constant,1900-01-01 03:45:00,Prozesskälte,1
Constant,1900-01-01 03:45:00,Prozesswärme,1
Constant,1900-01-01 03:45:00,Raumwärme,1
Constant,1900-01-01 03:45:00,Warmwasser,1
Constant,1900-01-01 04:00:00,Beleuchtung,1
Constant,1900-01-01 04:00:00,IKT,1
Constant,1900-01-01 04:00:00,Klimakälte,1
Constant,1900-01-01 04:00:00,mechanische Antriebe,1
Constant,1900-01-01 04:00:00,Prozesskälte,1
